question,sentence,sia_score
what can acid rain change?,acid rain can change soil,4.0
What causes loss of beaches?,wind and rain cause loss of beaches,4.0
Climate is the average of things like what in an area over a long period of time,Climate is the average of things like rain or sun shine  in an area over a long period of time,4.0
Plants require food in order to what?,Plants require food in order to adapt to their environment.,4.0
What can cycles of freezing and thawing water cause this type of weathering?,cycles of freezing and thawing water can cause mechanical weathering,4.0
What can behaviors be?,behaviors can be fun to learn,4.0
Bacteria in soil convert atmospheric nitrogen into a form usable by what?,bacteria in soil convert atmospheric nitrogen into a form usable by bamboo,4.0
What gets most energy from electromagnetic energy?,Most ecosystems get energy from electromagnetic energy,4.0
What does movement designed to work a specific muscle or muscles do?,Movement designed to work a specific muscle or has a positive impact on a human 's health.,4.0
What phase does a liquid take when heated sufficiently?,Heating a liquid can convert it into a gas.,4.0
Keeping things what is a way to adequately store them?,Keeping things cold in a fridge is a way to adequately store them.,4.0
Why does a snake look for shelter in the winter?,Snakes use shelter to protect themselves in the winter,4.0
What make and store colorful compounds?,Chromoplasts make and store colorful compounds,4.0
what is more complex in eukaryotes than prokaryotes?,mitosis is more complex in eukaryotes than prokaryotes,4.0
Where do organic molecules in beef store energy?,beef has organic molecules that store energy in their chemical bonds.,4.0
What are released into the surrounding water through the osculum?,male gametes are released into the surrounding water through the osculum.,4.0
what is required for cell growth?,protein is necessary for cell growth,4.0
Viruses are what kind of organisms?,Viruses are pathogenic organisms,4.0
what has a positive impact on the environment?,Reusing things has a positive impact on the environment,4.0
What do blood vessels carry?,blood vessels carry oxygen,4.0
rocks interacting with wind can dramatically alter what?,rocks interacting with wind can dramatically alter the landscape,4.0
What material will become hot if exposed to a heat source?,if copper is exposed to a source of heat then it may become hot,4.0
what makes soil stable?,trees make soil stable,4.0
cranberry harvests require the presence of what,cranberry harvests require the presence of bees,4.0
Why do male gametes swim from male to female reproductive organs?,Male gametes had to swim from male to female reproductive organs for fertilization.,4.0
what does the digestive system use to produce nutrients for the body?,the digestive system uses catabolism to produce nutrients for the body,4.0
What can water cause?,Water causes the bending of a ray of light,4.0
"Greenhouses are used to what, using the energy from the sun?",Greenhouses are used to protect plants using the energy from the sun.,4.0
lightning can cause what to be destroyed,lightning can cause forests to be destroyed,4.0
What can cause new alleles to appear?,the sex cells of a parent can cause new alleles to appear,4.0
When what rotates are cycles of day and night created?,"When something that moves in elliptical orbits rotates, it causes cycles of day and night on it",4.0
What is one thing studied in immunology?,Immunology includes the study of antigens.,4.0
What do animals require to move?,animals require food to move,4.0
what vitamin is beneficial to wounds?,vitamin c is beneficial to wounds,4.0
Living things interacting get energy from what?,Living things interacting get energy from sunlight.,4.0
what are amphibians classified by?,amphibians are classified based on their skull,4.0
what causes iron in rocks to oxidize?,chemical disintegration of rocks causes the iron in it to oxidize,4.0
What relies on grass as a food source?,Grass supplies a source of food for animals worldwide,4.0
what can being exposed to wind cause?,being exposed to wind can cause disturbance of a land surface,4.0
lack of _  causes low amounts of rainfall,lack of humidity causes low amounts of rainfall,4.0
What is a fluid that leaks out of the connection of arteries to veins?,Lymph is a fluid that leaks out of the connection of arteries to veins,4.0
Sediment can be formed by,sediment can be formed by water.,4.0
The volume of what can be measured with a graduated cylinder?,Water volume can be measured with a graduated cylinder,4.0
what dies if it becomes too cold?,if plants become too cold they will die,4.0
What has a negative impact on an organism?,Fire has a negative impact on an organism,4.0
The offspring of two living things with white eyes have what color eyes?,crossing two living things with white eyes causes their offspring to have white eyes,4.0
What does tilt cause on Earth?,Earth's tilt causes winter,4.0
If two balanced forces act on an object in opposite directions then that object is,if two balanced forces act on an object in opposite directions then that object is not  moving,4.0
