question,sentence,sia_score
what sheds fur in warm weather?,"a Great Dane is a type of animal that sheds fur
",2.592
_____ tide is a stage in the tide cycle process that surfers like the best,"surfers prefer high tide
",2.6719999999999997
A caterpillar is a part one of the mundane four stage life cycle of,"a caterpillar becomes a colorful invertebrate known as a butterfly
",2.76
Calculating a short distance can be accomplished with a,"A yard stick is 3 feet, while a meter stick is 3.2 feet make them close in size
",2.2880000000000003
Algae perform photosynthesis and so they are like to be found where in a body of water?,algae is found in bodies of water,2.576
A heavier object,"muscle power relates to force
",2.432
Overpopulation may result,if the population of an organism increases then the ecosystem may become overpopulated with that organism,2.656
A mother births what?,"younglings are offspring
",2.552
You would use a lever to move a,a lever is used for moving heavy objects,2.5839999999999996
Nocturnal predators hunt when?,nocturnal predators hunt during the night,2.3680000000000003
A creature that sometimes attaches to sharks is,"fish are prey
",2.3040000000000003
Living things are in grave danger from,"raging infernos are fires
",2.432
Which likely has a negative impact?,glaciers melting has a negative impact on the glaicial environment,2.176
Great lakes may have come to be thanks to,"glaciers are pillars of ice
",2.608
Breaking a vase changes its,breaking down an object changes that object 's shape and mass,2.52
Which likely has an electrical conductor that sends sensation through an organism?,"a shrew is an animal
",2.12
A person wanting to attract striped insects to come and feed in their yard would display,"carnations are flowers
",2.28
"If a bird has to adapt to hot or cold temperatures, it will find difficulty as it is",a bird is warm-blooded,2.144
"during the winter, a man's central heating stops functioning. Which of these could be a lifeline?",an oven is a source of heat,2.24
Which would likely spread the fastest?,"Exhaust from a car is a type of gas
",2.3280000000000003
Iron can be found on,rocks sometimes contain iron,2.48
Which is the correct relationship?,"the Earth orbits the sun
",2.736
"If you plug this into an outlet, current will flow through it.","a sword is made of metal
",2.44
Which of the following areas would most likely contain a sandbar?,a sandbar is formed by water moving sediment downstream,2.7680000000000002
A telescope is required for detailed observation of what?,"astral bodies are celestial objects
",2.6719999999999997
Which of the following is true?,"corn can fuel buses
",2.8480000000000003
Milk sold in supermarkets is pasteurized because,"chemicals on food help keep bacteria low
",2.0
Incinerating half a herd of cows means there will be,"cows are an animal harmed by incineration
",2.64
"In a warm room, it is likely that the source of heat is",a radiator is a source of heat,2.0
"Over a period of years in direct heat and sunlight, a large boulder may be",being exposed to heat can cause erosion of rocks,2.392
Toggling a light switch on,"a circuit made intact is completed
",2.64
A rose bush photosynthesizes and nearby people,"fresh air is a result of photosynthesis
",2.616
What lives in some zoo exhibits?,"felines are animals
",2.4
which of these would help a person walk through a dark basement?,a candle is a source of light when it is burned,2.04
Which contain seeds?,"mandarins are fruits
",2.8560000000000003
Which of these is a side effect of vegetable farming?,"fertilizer supplies nutrients to plants
",2.184
What can show how a rainbow is formed by refraction of light by splitting light into all different colors?,"light through a gem produces rainbows
",2.688
"Using your electronic that uses batteries for long periods of time makes them get very hot to the touch,  which makes it a","warmth is heat
",2.568
A fundamental feature of all life produces,reproduction produces offspring,2.24
A bird that weighs twenty pounds will fly easier than a bird that weighs,"twenty pounds is less weight than twenty four pounds
",2.3680000000000003
The moon's surface,"craters are generally from asteroid impacts
",2.616
A paper clip is often made of,a paper clip is often made of ferromagnetic metals,2.44
Which is likeliest to attract a magnet?,if a magnet is attracted to a metal then that magnet will stick to that metal,2.048
A bunch of seals are about to deliver and need to make sure they have returned to home for,"reproductive behavior can include returning to a certain place
",2.784
Before spring can arrive a squirrels must gather nuts to make it through,squirrels gather nuts in the autumn to eat during the winter,2.416
Seasons of the year highly impact what?,seasons cause change to the environment,2.432
Which human is more likely to be free of scars,"An unborn baby is likely to still be developing and be free from any skin damage
",2.296
food is a source of energy for what?,"grass snakes are animals
",2.112
Light has the inability to shine through what?,"solid wood is an opaque object
",2.296
An animal will become thicker if it does all aside from,"as the amount of food an animal eats decreases , that organism will become thinner",2.56
